measure_ts,temperature
2019-06-23 14:05:03.503,22.5
2019-06-23 14:05:33.504,22.5
2019-06-23 14:06:03.504,22.5
2019-06-23 14:06:33.504,22.5
2019-06-23 14:07:03.504,22.5
2019-06-23 14:07:33.503,22.5
2019-06-23 14:08:03.504,22.5
2019-06-23 14:08:33.504,22.5
2019-06-23 14:09:03.503,22.5
2019-06-23 14:09:33.503,22.5
2019-06-23 14:10:03.503,22.5
2019-06-23 14:10:33.504,22.5
2019-06-23 14:11:03.503,22.5
2019-06-23 14:11:33.503,22.5
2019-06-23 14:12:03.503,22.5
2019-06-23 14:12:33.504,22.5
2019-06-23 14:13:03.504,22.5
2019-06-23 14:13:33.504,22.5
2019-06-23 14:14:03.504,22.5
2019-06-23 14:14:33.503,22.5
2019-06-23 14:15:03.504,22.5
2019-06-23 14:15:33.504,22.5
2019-06-23 14:16:03.504,22.5
2019-06-23 14:16:33.504,22.5
2019-06-23 14:17:03.504,22.5
2019-06-23 14:17:33.503,22.5
2019-06-23 14:18:03.504,22.5
2019-06-23 14:18:33.503,22.5
2019-06-23 14:19:03.504,22.5
2019-06-23 14:19:33.504,22.5
2019-06-23 14:20:03.503,22.5
2019-06-23 14:20:33.504,22.5
2019-06-23 14:21:03.504,22.5
2019-06-23 14:21:33.504,22.5
2019-06-23 14:22:03.504,22.5
2019-06-23 14:22:33.504,22.5
2019-06-23 14:23:03.503,22.5
2019-06-23 14:23:33.504,22.5
2019-06-23 14:24:03.504,22.5
2019-06-23 14:24:33.504,22.5
2019-06-23 14:25:03.504,22.5
2019-06-23 14:25:33.504,22.5
2019-06-23 14:26:03.504,22.5
2019-06-23 14:26:33.504,22.5
2019-06-23 14:27:03.503,22.5
2019-06-23 14:27:33.504,22.5
2019-06-23 14:28:03.503,22.5
2019-06-23 14:28:33.504,22.5
2019-06-23 14:29:03.504,22.5
2019-06-23 14:29:33.504,22.5
2019-06-23 14:30:03.504,22.5
2019-06-23 14:30:33.503,22.5
2019-06-23 14:31:03.504,22.5
2019-06-23 14:31:33.504,22.5
2019-06-23 14:32:03.503,22.5
2019-06-23 14:32:33.503,22.5
2019-06-23 14:33:03.504,22.5
2019-06-23 14:33:33.504,22.5
2019-06-23 14:34:03.504,22.5
2019-06-23 14:34:33.504,22.5
2019-06-23 14:35:03.504,22.5
2019-06-23 14:35:33.504,22.5
2019-06-23 14:36:03.504,22.5
2019-06-23 14:36:33.503,22.5
2019-06-23 14:37:03.504,22.5
2019-06-23 14:37:33.504,22.5
2019-06-23 14:38:03.504,22.5
2019-06-23 14:38:33.503,22.5
2019-06-23 14:39:03.504,22.5
2019-06-23 14:39:33.503,22.5
2019-06-23 14:40:03.504,22.5
2019-06-23 14:40:33.504,22.5
2019-06-23 14:41:03.504,22.5
2019-06-23 14:41:33.504,22.5
2019-06-23 14:42:03.504,22.5
2019-06-23 14:42:33.503,22.5
2019-06-23 14:43:03.504,22.5
2019-06-23 14:43:33.504,22.5
2019-06-23 14:44:03.504,22.5
2019-06-23 14:44:33.504,22.5
2019-06-23 14:45:03.504,22.5
2019-06-23 14:45:33.504,22.5
2019-06-23 14:46:03.504,22.5
2019-06-23 14:46:33.504,22.5
2019-06-23 14:47:03.504,22.5
2019-06-23 14:47:33.504,22.5
2019-06-23 14:48:03.503,22.5
2019-06-23 14:48:33.503,22.5
2019-06-23 14:49:03.504,22.5
2019-06-23 14:49:33.504,22.5
2019-06-23 14:50:03.504,22.5
2019-06-23 14:50:33.504,22.5
2019-06-23 14:51:03.504,22.5
2019-06-23 14:51:33.503,22.5
