date,value
2020-09-02 00:00:00.000,0.0
2020-09-02 00:00:00.001,0.06279051952931337
2020-09-02 00:00:00.002,0.12533323356430426
2020-09-02 00:00:00.003,0.1873813145857246
2020-09-02 00:00:00.004,0.2486898871648548
2020-09-02 00:00:00.005,0.3090169943749474
2020-09-02 00:00:00.006,0.3681245526846779
2020-09-02 00:00:00.007,0.4257792915650727
2020-09-02 00:00:00.008,0.4817536741017153
2020-09-02 00:00:00.009,0.5358267949789967
2020-09-02 00:00:00.010,0.5877852522924731
2020-09-02 00:00:00.011,0.6374239897486896
2020-09-02 00:00:00.012,0.6845471059286886
2020-09-02 00:00:00.013,0.7289686274214116
2020-09-02 00:00:00.014,0.7705132427757893
2020-09-02 00:00:00.015,0.8090169943749475
2020-09-02 00:00:00.016,0.8443279255020151
2020-09-02 00:00:00.017,0.8763066800438637
2020-09-02 00:00:00.018,0.9048270524660196
2020-09-02 00:00:00.019,0.9297764858882513
2020-09-02 00:00:00.020,0.9510565162951535
2020-09-02 00:00:00.021,0.9685831611286311
2020-09-02 00:00:00.022,0.9822872507286886
2020-09-02 00:00:00.023,0.9921147013144779
2020-09-02 00:00:00.024,0.9980267284282716
2020-09-02 00:00:00.025,1.0
2020-09-02 00:00:00.026,0.9980267284282716
2020-09-02 00:00:00.027,0.9921147013144778
2020-09-02 00:00:00.028,0.9822872507286886
2020-09-02 00:00:00.029,0.9685831611286312
2020-09-02 00:00:00.030,0.9510565162951536
2020-09-02 00:00:00.031,0.9297764858882513
2020-09-02 00:00:00.032,0.9048270524660195
2020-09-02 00:00:00.033,0.8763066800438635
2020-09-02 00:00:00.034,0.844327925502015
2020-09-02 00:00:00.035,0.8090169943749475
2020-09-02 00:00:00.036,0.7705132427757893
2020-09-02 00:00:00.037,0.7289686274214114
2020-09-02 00:00:00.038,0.6845471059286888
2020-09-02 00:00:00.039,0.6374239897486899
2020-09-02 00:00:00.040,0.5877852522924732
2020-09-02 00:00:00.041,0.535826794978997
2020-09-02 00:00:00.042,0.4817536741017156
2020-09-02 00:00:00.043,0.4257792915650729
2020-09-02 00:00:00.044,0.36812455268467814
2020-09-02 00:00:00.045,0.3090169943749475
2020-09-02 00:00:00.046,0.24868988716485482
2020-09-02 00:00:00.047,0.18738131458572502
2020-09-02 00:00:00.048,0.12533323356430454
2020-09-02 00:00:00.049,0.06279051952931358
2020-09-02 00:00:00.050,1.2246467991473532E-16
2020-09-02 00:00:00.051,-0.06279051952931335
2020-09-02 00:00:00.052,-0.12533323356430429
2020-09-02 00:00:00.053,-0.18738131458572477
2020-09-02 00:00:00.054,-0.24868988716485502
2020-09-02 00:00:00.055,-0.30901699437494773
2020-09-02 00:00:00.056,-0.3681245526846783
2020-09-02 00:00:00.057,-0.42577929156507227
2020-09-02 00:00:00.058,-0.481753674101715
2020-09-02 00:00:00.059,-0.5358267949789964
2020-09-02 00:00:00.060,-0.587785252292473
2020-09-02 00:00:00.061,-0.6374239897486896
2020-09-02 00:00:00.062,-0.6845471059286887
2020-09-02 00:00:00.063,-0.7289686274214113
2020-09-02 00:00:00.064,-0.7705132427757894
2020-09-02 00:00:00.065,-0.8090169943749473
